PX,Main,"Midblock Route","Side 1 Route","Side 2 Route","Activation Date",Latitude,Longitude,"Count Date",8HrVehVol,8HrPedVol
489,"ST CLAIR AVE W",,"LANSDOWNE AVE",,30-Aug-1929,43.67628,-79.45058,2015/08/12,9082,3079
490,"ST CLAIR AVE W",,"CALEDONIA RD","CALEDONIA PARK RD",20-Oct-1948,43.67534,-79.45476,2015/04/23,17142,1496
491,"ST CLAIR AVE W",,"SILVERTHORN AVE","HOUNSLOW HEATH RD",18-Sep-1950,43.67421,-79.46,2015/04/23,9576,1341
492,"ST CLAIR AVE W",,"OLD WESTON RD",,31-Jul-1941,43.67353,-79.46302,2015/04/23,16915,2020
493,"ST CLAIR AVE W",,"KEELE ST","WESTON RD",21-Dec-1939,43.67254,-79.46762,2015/04/22,23692,3203
496,"DUNDAS ST W",,"SCARLETT RD",,31-Jan-1958,43.66552,-79.49919,2015/04/18,17517,320
505,"BATHURST ST",,"AVA RD",,01-Jan-1967,43.697953,-79.424341,2015/04/01,16511,282
506,"BATHURST ST",,"WARWICK AVE",,01-Jan-1967,43.69529,-79.42322,2015/04/01,15207,339
535,"STEELES AVE W",,"JANE ST",,24-Aug-1967,43.77549,-79.52168,2015/05/13,33610,1910
537,"KING ST W",,"NIAGARA ST",,12-Jan-1961,43.64292,-79.40767,2015/04/02,11450,2931
548,"QUEEN ST E",,"WOODBINE AVE",,25-Oct-1955,43.66878,-79.3058,2015/04/25,21648,5864
563,"THE QUEENSWAY",,"STEPHEN DR",,01-Jan-1957,43.63041,-79.48422,2015/01/15,19684,230
576,"KEELE ST",,"ANNETTE ST",,16-Oct-1952,43.66366,-79.46375,2015/04/21,17195,933
602,"STEELES AVE W",,"KEELE ST",,21-Feb-1968,43.781523,-79.494495,2015/05/13,39154,1414
605,"COLLEGE ST",,"DUFFERIN ST",,19-Nov-1948,43.6525538,-79.432536,2015/08/10,15553,3738
620,"DON MILLS RD",,"OVERLEA BLVD","GATEWAY BLVD",14-Jan-1978,43.7099841,-79.334385,2015/05/20,32000,6014
630,"WILSON AVE",,"WILSON HEIGHTS BLVD","TIPPET RD",31-Jan-1958,43.7345828,-79.4472,2015/04/07,19449,821
640,"DUNDAS ST W",,"SORAUREN AVE",,05-Apr-1969,43.6511963,-79.445285,2015/06/08,13636,608
660,"WOODBINE AVE",,"LUMSDEN AVE","MORTIMER AVE",31-Jan-1958,43.6927726,-79.315855,2015/04/25,16749,1158
670,"BATHURST ST",,"INVERMAY AVE",,29-Dec-1965,43.7414973,-79.43502,2015/04/07,15664,748
671,"BATHURST ST",,"YORK DOWNS DR",,18-Nov-1958,43.7472416,-79.436456,2015/03/23,18000,462
673,"BATHURST ST","335m SOUTH OF","ELLERSLIE AVE","PRIVATE ACCESS",27-Jul-1961,43.7624442,-79.440171,2015/04/01,12940,935
