stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
528,10870,SEWELLS RD AT BRENYON WAY EAST SIDE,,43.807967,-79.215044,,,,,1
529,10873,SEWELLS RD AT BRENYON WAY,,43.807901,-79.215487,,,,,1
530,10871,SEWELLS RD AT MCLEVIN AVE,,43.810289,-79.213814,,,,,2
532,7172,SHEPPARD AVE EAST AT COMMONS DR,,43.775724,-79.320561,,,,,1
533,11025,SHEPPARD AVE EAST AT COMMONS DR,,43.775635,-79.320971,,,,,1
534,11669,SHEPPARD AVE EAST AT MEADOWVALE RD,,43.808213,-79.171123,,,,,2
535,13918,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,,43.775339,-79.322281,,,,,1
536,6069,SHEPPARD AVE WEST AT JANE ST EAST SIDE,,43.739397,-79.512628,,,,,2
537,6087,SHEPPARD AVE WEST AT SENTINEL RD,,43.743789,-79.491656,,,,,1
538,4598,SHEPPARD AVE AT WILLIAM R ALLEN RD WEST SIDE,,43.750274,-79.463881,,,,,1
540,3117,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),,43.609782,-79.558227,,,,,1
541,9108,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,,43.609988,-79.558424,,,,,1
542,9109,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),,43.609813,-79.558011,,,,,1
543,11587,SHERWAY GARDENS RD AT SHERWAY GATE MALL),,43.609821,-79.557944,,,,,1
549,1262,MAIN ST AT DANFORTH AVE,,43.688037,-79.301649,,,,,2
550,11826,MAIN ST AT DANFORTH AVE,,43.687792,-79.301554,,,,,1
551,2855,MAIN ST AT DONCASTER AVE,,43.691558,-79.303272,,,,,2
552,1264,MAIN ST AT GERRARD ST EAST,,43.684059,-79.300281,,,,,1
553,13923,MAIN ST AT GERRARD ST EAST,,43.684172,-79.300296,,,,,1
556,11990,EXHIBITION LOOP,,43.636249,-79.415189,,,,,2
557,11989,EXHIBITION LOOP,,43.636349,-79.414989,,,,,2
558,13900,MARKHAM RD AT PASSMORE AVE NORTH SIDE,,43.831144,-79.250629,,,,,2
